Time (s),Ux,Uy,Uz,k,omega,p
473,0.00167610539529,0.00035499403211,0.000345303536163,0.00168301823069,7.82505675648e-06,0.0538314429329
474,0.00165075222817,0.000350352409227,0.000340899488056,0.00168203697653,7.83102518006e-06,0.0542675376333
475,0.00166126494867,0.000351837681107,0.000342677636659,0.00168145839286,7.8382843057e-06,0.0542120573021
476,0.00163015888616,0.000345263503417,0.000337904381298,0.00167988405032,7.84451822203e-06,0.0542908343761
477,0.00165435369693,0.000349684398963,0.000339992686842,0.0016797351112,7.85336177104e-06,0.0537050377308
478,0.00161026966264,0.000342050634007,0.000333222561864,0.00167760122743,7.86074616335e-06,0.0535861683731
479,0.00161525195638,0.000347223800652,0.000335037366116,0.00167718313846,7.8689392658e-06,0.0533237418428
480,0.0015677897917,0.00034191096052,0.000327531443219,0.00167586579186,7.87712370133e-06,0.0533743791913
481,0.00156096557586,0.000344188372989,0.000326374959488,0.00167512930561,7.88809292433e-06,0.0527945931546
482,0.00152784346706,0.00033896696646,0.000320694406543,0.00167391666138,7.8957376644e-06,0.0529388575295
483,0.00152898097998,0.000340443784256,0.000321420939512,0.00167338911886,7.90419338432e-06,0.0529039951732
484,0.00151127771508,0.000339941803932,0.000321146384952,0.00167188161945,7.91098512409e-06,0.0529734169215
485,0.00152935442565,0.000343459242673,0.000323824188486,0.00167163844734,7.9194643286e-06,0.0528338029513
486,0.00150306788139,0.000341595110943,0.000318622787646,0.00166989162706,7.92623307315e-06,0.0525897469547
487,0.00151300334279,0.000347258710523,0.000320032639365,0.00166903698418,7.93469723115e-06,0.0518417856255
488,0.00149329391781,0.000343165842121,0.000317070314993,0.00166754466735,7.94105989485e-06,0.050462851006
489,0.00150192893341,0.00034872543189,0.000319383024811,0.00166714996103,7.94903772166e-06,0.0498360464583
490,0.00149344416123,0.00034630595681,0.000317660778951,0.00166534222393,7.95494246963e-06,0.0495068329253
491,0.00153600754521,0.000350626207396,0.00032217797849,0.00166514599293,7.96218675191e-06,0.0489849496889
492,0.00152394419701,0.000344198291497,0.000319345811427,0.00166241396599,7.96636873751e-06,0.0484162306186
493,0.00154494016197,0.00034565113928,0.000321352259751,0.00166135466249,7.97252693458e-06,0.0479658846687
494,0.00153547711314,0.000340306737814,0.000319978159274,0.00166027088145,7.97540401973e-06,0.0476121954124
495,0.00154300623152,0.000341324506301,0.000319237789855,0.00165863126603,7.97999083373e-06,0.0471148062122
496,0.00154072439722,0.000341965571632,0.000319384831439,0.00165696168634,7.98290610096e-06,0.0469802416129
497,0.00158105632217,0.000345035679169,0.000321577875475,0.00165581855776,7.98663081141e-06,0.0466180657465
498,0.00158084043062,0.000342636345893,0.000320339425548,0.00165432144998,7.9888619742e-06,0.0464925627167
499,0.00158797690907,0.000343113666658,0.000318465907368,0.00165286058111,7.99205338056e-06,0.0464269023879
